得意先ＣＤ,得意先名,得意先名カナ,得意先名略称,郵便番号,住所１,住所２,電話番号,ＦＡＸ,売掛現金区分,電話確認区分,締区分,締日１,締日２,締日３,締日４,支払サイト,支払日,集金区分,請求先ＣＤ,ＷＥＢ表示区分,取扱区分,帳票出力順,ＩＤ,パスワード,備考,数量確定フラグ,税区分,軽減税率区分,部署ＣＤ,修正担当者ＣＤ,修正日
26,国分小学校　第二学童保育所,ｺｸﾌﾞｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎｲｸｼｮｺｸ,国分小　学童第二,818-0132,太宰府市国分2-10-1,,092-925-1122,,1,0,0,99,0,0,0,1,99,1,26,0,0,0,,,,1,0,0,1,2,2021/05/21 12:50:45
27,国分小学校　第三学童保育所,ｺｸﾌﾞｼｮｳｶﾞｯｺｳ ﾀﾞｲｻﾝｶﾞｸﾄﾞｳﾎｲｸｼｮ,国分小　学童第三,818-0132,太宰府市国分2-10-1,,092-925-1123,,1,0,0,99,0,0,0,1,99,1,27,0,0,0,,,,1,0,0,1,2,2021/05/21 12:51:47
30,須玖小学校　　チャイルドクラブ,ｽｸ ﾁｬｲﾙﾄﾞ,須玖小　チャイルド,816-0863,春日市須玖南2-71,,092-582-6444,,1,0,0,99,0,0,0,1,99,1,30,0,0,0,,,,1,0,0,1,2,2020/03/17 13:17:24
32,春日小学校　ポケットクラブ,ｶｽｶﾞ ﾎﾟｹｯﾄ,春日小　ポケット,816-0851,春日市昇町1-142,,092-573-4692,,1,0,0,99,0,0,0,1,99,1,32,0,0,0,,,,1,0,0,1,2,2020/03/17 12:58:05
33,春日小学校　ポケット第2クラブ,ｶｽｶﾞ ﾎﾟｹｯﾄﾀﾞｲ2,春日小　ポケット第2,816-0851,春日市昇町1-142,,092-573-4699,,1,0,0,99,0,0,0,1,99,1,33,0,0,0,,,,1,0,0,1,2,2020/03/17 13:12:47
34,春日西小学校　つばめクラブ,ｶｽｶﾞﾆｼ ﾂﾊﾞﾒ,春日西小　つばめ,816-0846,春日市下白水南4-134,,092-572-6522,,1,0,0,99,0,0,0,1,99,1,34,0,0,0,,,,1,0,0,1,7,2020/03/17 15:27:36
35,春日西小学校　つばめ第2クラブ,ｶｽｶﾞﾆｼ ﾂﾊﾞﾒﾀﾞｲ2,春日西小　つばめ第2,816-0846,春日市下白水南4-134,,092-592-1345,,1,0,0,99,0,0,0,1,99,1,35,0,0,0,,,,1,0,0,1,2,2020/03/17 13:12:52
36,天神山小学校　ひかりクラブ,ﾃﾝｼﾞﾝﾔﾏ ﾋｶﾘ,天神山小　ひかり,816-0855,春日市天神山6-39,,092-574-0316,,1,0,0,99,0,0,0,1,99,1,36,0,0,0,,,,1,0,0,1,2,2020/03/17 12:59:54
37,天神山小学校　ひかり第2クラブ,ﾃﾝｼﾞﾝﾔﾏﾋｶﾘﾀﾞｲ2,天神山小　ひかり第2,816-0855,春日市天神山6-39,,092-573-7758,,1,0,0,99,0,0,0,1,99,1,37,0,0,0,,,,1,0,0,1,2,2020/03/17 13:12:57
38,大谷小学校　ひまわりクラブ,ｵｵﾀﾆ ﾋﾏﾜﾘ,大谷小　ひまわり,816-0831,春日市大谷4-1,,092-591-1355,,1,0,0,99,0,0,0,1,99,1,38,0,0,0,,,,1,0,0,1,7,2020/03/17 15:29:13
40,春日南小学校　さくらクラブ,ｶｽｶﾞﾐﾅﾐ ｻｸﾗ,春日南小　さくら,816-0814,春日市春日8-100,,092-595-3377,,1,0,0,99,0,0,0,1,99,1,40,0,0,0,,,,1,0,0,1,2,2020/03/17 13:03:50
41,春日南小学校　さくら第2クラブ,ｶｽｶﾞﾐﾅﾐｻｸﾗﾀﾞｲ2,春日南小　さくら第2,816-0814,春日市春日8-100,,092-595-3436,,1,0,0,99,0,0,0,1,99,1,41,0,0,0,,,,1,0,0,1,2,2020/03/17 13:12:59
42,春日原小学校　たいようクラブ,ｶｽｶﾞﾊﾞﾙﾀｲﾖｳ,春日原小　たいよう,816-0803,春日市春日原南町4-37-1,,092-574-2348,,1,0,0,99,0,0,0,1,99,1,42,0,0,0,,,,1,0,0,1,2,2020/03/17 13:09:46
44,春日東小学校　なかよしクラブ,ｶｽｶﾞﾋｶﾞｼﾅｶﾖｼ,春日東小　なかよし,816-0821,春日市若葉台東1-51,,092-574-2650,,1,0,0,99,0,0,0,1,99,1,44,0,0,0,,,,1,0,0,1,2,2020/03/17 13:09:59
45,春日東小学校　なかよし第2クラブ,ｶｽｶﾞﾋｶﾞｼﾅｶﾖｼﾀﾞｲ2,春日東小　なかよし第2,816-0821,春日市若葉台東1-51,,092-571-3688,,1,0,0,99,0,0,0,1,99,1,45,0,0,0,,,,1,0,0,1,2,2020/03/17 13:13:06
46,春日北小学校　あおぞらクラブ,ｶｽｶﾞｷﾀｱｵｿﾞﾗ,春日北小　あおぞら,816-0861,春日市岡本1-35,,092-592-2692,,1,0,0,99,0,0,0,1,99,1,46,0,0,0,,,,1,0,0,1,2,2020/03/17 13:10:40
48,春日野小学校　つくしんぼクラブ,ｶｽｶﾞﾉﾂｸｼﾝﾎﾞ,春日野小　つくしんぼ,816-0811,春日市春日公園4-1-1,,092-501-7302,,1,0,0,99,0,0,0,1,99,1,48,0,0,0,,,,1,0,0,1,2,2020/03/17 13:11:27
49,春日野小学校　つくしんぼ第2クラブ,ｶｽｶﾞﾉﾂｸｼﾝﾎﾞﾀﾞｲ2,春日野小つくしんぼ第2,816-0811,春日市春日公園4-1-1,,092-582-8680,,1,0,0,99,0,0,0,1,99,1,49,0,0,0,,,,1,0,0,1,2,2020/03/17 13:13:21
50,日の出小学校　コスモクラブ,ﾋﾉﾃﾞｺｽﾓ,日の出小　コスモ,816-0873,春日市日の出町3-1-10,,092-585-2883,,1,0,0,99,0,0,0,1,99,1,50,0,0,0,,,,1,0,0,1,2,2020/03/17 13:13:46
52,白水小学校　スマイルクラブ,ｼﾛｳｽﾞスマイル,白水小　スマイル,816-0845,春日市白水ヶ丘1-100,,092-581-2450,,1,0,0,99,0,0,0,1,99,1,52,0,0,0,,,,1,0,0,1,7,2020/03/17 15:33:41
61,立花小学校　学童保育所,ﾀﾁﾊﾞﾅｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮ,立花小　学童,811-0102,糟屋郡新宮町大字立花口1072-3,,092-963-0450,,1,0,0,99,0,0,0,1,99,1,61,0,0,0,,,,1,0,0,1,2,2021/05/21 10:55:00
62,新宮小学校　学童保育所第一・第二・第三,ｼﾝｸﾞｳｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮﾀﾞｲｲﾁ,新宮小学校　学童,811-0112,糟屋郡新宮町下府3-12,,092-962-4139,,1,0,0,99,0,0,0,1,99,1,62,0,0,0,,,,1,0,0,1,2,2021/05/21 13:54:52
63,新宮東小学校　学童保育所第一・第二,ｼﾝｸﾞｳﾋｶﾞｼｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮﾀ,新宮東小　学童,811-0117,糟屋郡新宮町新宮東4-8-1,,092-963-1131,,1,0,0,99,0,0,0,1,99,1,63,0,0,0,,,,1,0,0,1,2,2021/05/21 10:57:34
64,新宮北小学校　学童保育所第一・第二・第三・第四,ｼﾝｸﾞｳｷﾀｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮﾀﾞｲ,新宮北小　学童,811-0123,糟屋郡新宮町上府北1-16-1,,092-963-1712,092-963-1713,1,0,0,99,0,0,0,1,99,1,64,0,0,0,,,,1,0,0,1,2,2021/05/21 11:00:04
71,南畑小学校　学童保育所,ﾐﾅﾐﾊﾀｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮ,南畑小　学童,811-1232,那珂川市大字埋金530-1,,092-953-3660,,1,0,0,99,0,0,0,1,99,1,71,0,0,0,,,,1,0,0,1,2,2021/05/21 11:08:56
72,岩戸小学校　学童保育所A・B,ｲﾜﾄｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮA･B,岩戸小　学童,811-1242,那珂川市大字西隈2-6-45,,092-953-1768,,1,0,0,99,0,0,0,1,99,1,72,0,0,0,,,,1,0,0,1,2,2021/05/21 11:11:02
73,岩戸北小学校　学童保育A・B・C,ｲﾜﾄｷﾀｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸA･B･C,岩戸北小　学童,811-1255,那珂川市恵子1-1-1,,092-953-3141,,1,0,0,99,0,0,0,1,99,1,73,0,0,0,,,,1,0,0,1,2,2021/05/21 11:12:49
74,安徳小学校　学童保育所A・B・C,ｱﾝﾄｸｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮA･B･C,安徳小　学童,811-1251,那珂川市松木2-134,,092-953-1766,,1,0,0,99,0,0,0,1,99,1,74,0,0,0,,,,1,0,0,1,2,2021/05/21 11:14:59
75,安徳北小学校　学童保育所A・B・Ｃ,ｱﾝﾄｸｷﾀｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮABC,安徳北小　学童,811-1252,那珂川市五郎丸1-11,,092-952-8147,,1,0,0,99,0,0,0,1,99,1,75,0,0,0,,,,1,0,0,1,2,2021/05/21 13:55:08
76,片縄小学校　学童保育所A・第二B・第三Ｃ,ｶﾀﾅﾜｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮAﾀﾞｲ,片縄小　学童,811-1203,那珂川市片縄北1-15-2,,092-952-8133,,1,0,0,99,0,0,0,1,99,1,76,0,0,0,,,,1,0,0,1,2,2021/05/21 11:33:23
77,安徳南小学校　学童保育所A・B・Ｃ,ｱﾝﾄｸﾐﾅﾐｼｮｳｶﾞｯｺｳ ｶﾞｸﾄﾞｳﾎｲｸｼｮA･B,安徳南小　学童,811-1223,那珂川市上梶尾1-1-2,,092-953-6221,,1,0,0,99,0,0,0,1,99,1,77,0,0,0,,,,1,0,0,1,2,2021/05/21 11:34:53
90,ペコフリー,ﾍﾟｺﾌﾘｰ,ペコフリー,815-0032,福岡県福岡市南区塩原1-28-1,"
LuneAyla",092-292-7997,,1,0,0,99,0,0,0,1,99,1,90,0,0,0,,,,1,0,0,1,2,2025/09/08 11:37:12
91,テノ・サポート,ﾃﾉ･ｻﾎﾟｰﾄ,テノ・サポート,812-0036,福岡市博多区上呉服町10-10,呉服町ビジネスセンター5階,,,1,0,0,99,0,0,0,1,99,1,91,0,0,0,,,,1,0,0,1,6,2022/09/03 11:45:23
92,ペコフリー,ﾍﾟｺﾌﾘｰ,ペコフリー,815-0032,福岡県福岡市南区塩原1-28-1,"
LuneAyla(リュネアイラ)",092-292-7997,,1,0,0,99,0,0,0,1,99,1,92,0,0,0,,,,1,0,0,1,2,2025/09/08 11:18:39
95,博多学園　志明館,ハカタガクエン ｼﾒｲｶﾝ,博多学園志明館,813-0041,福岡県福岡市東区水谷１丁目２１番１号," ",092-410-1450," ",1,0,0,99,0,0,0,2,99,1,95,0,0,0,,,,0,0,0,1,6,2019/10/30 9:38:49
96,博多学園,ハカタガクエン,博多学園,813-0041,福岡県福岡市東区水谷１丁目２１番１号," ",092-671-6319," ",1,0,0,99,0,0,0,2,99,1,96,0,0,0,,,,0,0,0,1,6,2019/10/07 13:24:11
97,博多メディカル専門学校（現金）,ハカタメディカル,博多メディカル,812-0044,福岡県福岡市博多区千代4-32-1-,,092-651-8001,,1,0,0,99,0,0,0,0,99,1,97,0,0,500,,,,1,0,0,1,6,2019/10/30 9:39:00
98,博多メディカル専門学校,ハカタメディカル,博多メディカル専門学校,812-0044,福岡県福岡市博多区千代4-32-1-,,092-651-8001,,1,0,0,99,0,0,0,1,99,1,98,0,0,500,,,,1,0,0,1,6,2019/10/30 9:39:07
99,博多高等学校,ハカタコウコウ,博多高等学校,813-0041,福岡県福岡市東区水谷１丁目２１番１号,,092-681-0331,,1,0,0,99,0,0,0,2,99,1,99,0,0,0,,,,1,0,0,1,6,2019/10/30 9:39:18
100,博多のびっこ幼稚園　週3ｺｰｽ,ハカタノビッコ ｼｭｳ3ｺｰｽ,博多のびっこ幼稚園　週3ｺｰｽ,811-3425,福岡県宗像市日の里７－１８－１,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,100,0,0,20,,,,1,0,0,1,2,2025/09/02 12:00:52
101,博多のびっこ幼稚園（別注）,ハカタノビッコ,博多のびっこ幼稚園（別注）,,,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,101,0,0,21,,,,1,0,0,1,6,2019/10/30 9:24:33
102,博多のびっこ幼稚園　リトルプレイルーム,ハカタノビッコリトル,博多のびっこ幼稚園　リトルプレイルーム,,,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,102,0,0,22,,,,1,0,0,1,6,2019/10/30 9:24:40
103,博多のびっこ幼稚園　ふれあい,フレアイ,博多のびっこ幼稚園　ふれあい,,,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,103,0,0,23,,,,1,0,0,1,6,2019/10/30 9:24:46
104,博多のびっこ幼稚園　のびっこクラブ,ノビッコｸﾗﾌﾞ,博多のびっこ幼稚園　のびっこク,,,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,104,0,0,24,,,,1,0,0,1,6,2019/10/30 9:24:53
105,博多のびっこ幼稚園　星組,ﾊｶﾀﾉﾋﾞｯｺﾖｳﾁｴﾝ ﾎｼｸﾞﾐ,博多のびっこ　星組,811-3425,福岡県宗像市日の里7-18-1,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,105,0,0,25,,,,1,0,0,1,6,2019/10/30 9:24:59
106,博多のびっこ幼稚園　週5ｺｰｽ,ﾊｶﾀﾉﾋﾞｯｺｼｭｳ5ｺｰｽ,博多のびっこ　週5ｺｰｽ,811-3425,福岡県宗像市日の里7-18-1,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,106,0,0,20,,,"
",1,0,0,1,2,2025/09/08 11:24:02
107,博多のびっこ幼稚園（補助教員）,ハカタノビッコ (ﾎｼﾞｮｷｮｳｲﾝ),博多のびっこ（補助教員）,811-3425,福岡県宗像市日の里７－１８－１,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,107,0,0,20,,,,1,0,0,1,6,2019/10/30 9:25:10
108,博多のびっこ幼稚園（別注2）,ハカタノビッコ2,博多のびっこ幼稚園（別注2）,,,,0940-36-7473,0940-36-7382,1,0,0,99,0,0,0,2,99,1,108,0,0,21,,,,1,0,0,1,6,2019/10/30 9:25:16
200,博多南幼稚園　週3ｺｰｽ,ハカタミナミ ｼｭｳ3ｺｰｽ,博多南　週3ｺｰｽ,811-0215,福岡県福岡市東区高美台２－２５－１,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,200,0,0,50,,,,1,0,0,1,2,2025/09/10 14:02:26
201,博多南幼稚園（別注）,ハカタミナミ(別注),博多南幼稚園（別注）,,,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,201,0,0,51,,,,1,0,0,1,6,2019/10/30 9:25:33
202,博多南幼稚園　リトルプレイルーム,ハカタミナミリトル,博多南幼稚園　リトルプレイルーム,,,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,202,0,0,51,,,,1,0,0,1,6,2019/10/30 9:25:37
203,博多南幼稚園（別注2）,ハカタミナミﾍﾞｯﾁｭｳ2,博多南幼稚園（別注2）,,,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,203,0,0,51,,,,1,0,0,1,6,2019/10/30 9:25:44
204,博多南幼稚園（別注3）,ハカタミナミ(別注3),博多南幼稚園（別注3）,,,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,204,0,0,51,,,,1,0,0,1,7,2024/02/01 14:22:08
205,博多南幼稚園　フレンズルーム,ハカタミナミ ﾌﾚﾝｽﾞﾙｰﾑ,博多南幼稚園　フレンズルーム,811-0215,福岡県福岡市東区高美台２－２５－１,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,205,0,0,50,,,,1,0,0,1,2,2025/09/02 12:01:42
206,博多南幼稚園　週5ｺｰｽ,ハカタミナミ ｼｭｳ5ｺｰｽ,博多南　週5ｺｰｽ,811-0215,福岡県福岡市東区高美台２－２５－１,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,206,0,0,50,検食,-1,,1,0,0,1,2,2025/09/10 14:02:33
207,博多南幼稚園（補助教員）,ハカタミナミ(ﾎｼﾞｮｷｮｳｲﾝ),博多南（補助教員）　web,811-0215,福岡県福岡市東区高美台２－２５－１,,092-606-8217,092-606-8850,1,0,0,99,0,0,0,2,99,1,207,0,0,50,,,,1,0,0,1,2,2025/09/10 15:59:12
300,博多東幼稚園,ハカタヒガシ,博多東幼稚園,811-0121,福岡県糟屋郡新宮町美咲2丁目17-1,,092-962-0321,092-963-1199,1,0,0,99,0,0,0,2,99,1,300,0,0,40,,,,1,0,0,1,6,2019/12/27 10:45:24
301,博多東幼稚園（別注）,ハカタヒガシ,博多東幼稚園（別注）,811-0121,福岡県糟屋郡新宮町美咲2丁目17-1,,092-962-0321,092-963-1199,1,0,0,99,0,0,0,2,99,1,301,0,0,0,,,,1,0,0,1,6,2019/12/27 10:45:32
302,博多東幼稚園　リトルプレイルーム,ハカタヒガシリトル,博多東幼稚園　リトルプレイルーム,,,,092-962-0321,092-963-1199,1,0,0,99,0,0,0,2,99,1,302,0,0,0,,,,1,0,0,1,6,2019/12/27 10:45:38
303,博多東幼稚園　ピータールーム,ヒガシピーター,博多東幼稚園　ピータールーム,,,,092-962-0321,092-963-1199,1,0,0,99,0,0,0,2,99,1,303,0,0,43,,,,0,0,0,1,6,2019/12/27 10:45:44
305,認定こども園博多東幼稚園,ヒガシﾆﾝﾃｲｺﾄﾞﾓｴﾝ,認定こども園博多東幼稚園　,,,,092-962-0321,092-963-1199,1,0,0,99,0,0,0,2,99,1,303,0,0,30005,,,,0,0,0,1,7,2023/06/21 15:03:19
400,博多中央幼稚園　週3ｺｰｽ,ハカタチュウオウ ｼｭｳ3ｺｰｽ,博多中央　週3ｺｰｽ,813-0014,福岡県福岡市東区香椎台１－５－２２,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,400,0,0,70,,,,1,0,0,1,2,2025/09/10 14:02:41
401,博多中央幼稚園（別注）,ハカタチュウオウ ﾍﾞｯﾁｭｳ,博多中央幼稚園（別注）,,,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,401,0,0,71,,,,1,0,0,1,6,2019/10/30 9:29:54
402,博多中央幼稚園　リトルプレイルーム,ハカタチュウオウリトル,博多中央幼稚園　リトルプレイルーム,,,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,402,0,0,71,,,,1,0,0,1,6,2019/10/30 9:30:01
403,博多中央幼稚園　キラキラルーム,ﾊｶﾀﾁｭｳｵｳﾖｳﾁｴﾝ ｷﾗｷﾗﾙｰﾑ,博多中央幼稚園　キラキラルーム,813-0014,福岡県福岡市東区香椎台1-5-22,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,403,0,0,70,,,,1,0,0,1,2,2025/09/02 12:05:56
404,博多中央幼稚園（別注2）,ハカタチュウオウ ﾍﾞｯﾁｭｳ2,博多中央（別注2）,,,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,404,0,0,71,,,,1,0,0,1,2,2025/09/10 14:02:52
406,博多中央幼稚園　週5ｺｰｽ,ハカタチュウオウ ｼｭｳ5ｺｰｽ,博多中央　週5ｺｰｽ,813-0014,福岡県福岡市東区香椎台１－５－２２,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,406,0,0,70,検食,-1,,1,0,0,1,2,2025/09/10 14:02:59
407,博多中央幼稚園（補助教員）,ハカタチュウオウ(ﾎｼﾞｮｷｮｳｲﾝ),博多中央（補助教員）　web,813-0014,福岡県福岡市東区香椎台１－５－２２,,092-681-3131,092-681-3134,1,0,0,99,0,0,0,2,99,1,407,0,0,70,,,,1,0,0,1,2,2025/09/10 15:59:21
500,博多幼稚園　週3ｺｰｽ,ハカタ ｼｭｳ3ｺｰｽ,博多　週3ｺｰｽ,813-0042,福岡県福岡市東区舞松原５－７－５,,092-681-1107,092-671-6231,1,0,0,99,0,0,0,2,99,1,500,0,0,80,,,,1,0,0,1,2,2025/09/10 14:03:08
501,博多幼稚園（別注）,ハカタ,博多幼稚園（別注）,,,,092-681-1107,092-671-6231,1,0,0,99,0,0,0,2,99,1,501,0,0,81,,,,1,0,0,1,6,2019/10/30 9:30:38
502,博多幼稚園　リトルプレイルーム,ハカタリトル,博多幼稚園　リトルプレイルーム,,,,092-681-1107,092-671-6231,1,0,0,99,0,0,0,2,99,1,502,0,0,81,,,,1,0,0,1,6,2019/10/30 9:30:43
503,博多幼稚園　ぴよぴよランド,ﾊｶﾀﾖｳﾁｴﾝ ﾋﾟﾖﾋﾟﾖﾗﾝﾄﾞ,博多幼稚園　ぴよぴよランド,,,,092-681-1107,092-671-6231,1,0,0,99,0,0,0,2,99,1,503,0,0,81,,,,1,0,0,1,2,2025/09/02 12:06:24
504,博多幼稚園（別注2）,ハカタ2,博多（別注2）,,,,092-681-1107,092-671-6231,1,0,0,99,0,0,0,2,99,1,504,0,0,81,,,,1,0,0,1,2,2025/09/10 14:03:13
